rep,disparity,auc_mask,r2_within,r2_loso,r2_loso_mask,mask_gain,r2_pooled,r2_pooled_mask,mask_gain_pooled,inflation,censor_rate
84,0.0,0.5086217592592592,0.4314375083086417,0.47014933596341224,0.47014933596341224,0.0,0.4758089999760966,0.4758089999760966,0.0,0.005659664012684362,0.05
85,0.0,0.48819976851851843,0.30554268690009556,0.35495786158239584,0.35495786158239584,0.0,0.36594648158647314,0.36594648158647314,0.0,0.010988620004077299,0.05
86,0.0,0.4929164351851852,0.2015588033171033,0.3009962858008043,0.3009962858008043,0.0,0.35137560033286674,0.35137560033286674,0.0,0.05037931453206246,0.05
87,0.0,0.4958738425925926,0.2968679937659491,0.36644123038215703,0.36644123038215703,0.0,0.37730387776190544,0.37730387776190544,0.0,0.010862647379748402,0.05
88,0.0,0.48703888888888897,0.23866931550188486,0.3538035669518734,0.3538035669518734,0.0,0.39731000218393075,0.39731000218393075,0.0,0.04350643523205733,0.05
89,0.0,0.4864554398148148,0.17682772779131828,0.287844101810376,0.287844101810376,0.0,0.3171924017729624,0.3171924017729624,0.0,0.029348299962586366,0.05
90,0.0,0.5091623842592593,0.0029281629154537248,0.2723526934223952,0.2723526934223952,0.0,0.25687268199762836,0.25687268199762836,0.0,-0.015480011424766849,0.05
91,0.0,0.5083755787037038,0.3422740151416741,0.2843542252305242,0.2843542252305242,0.0,0.29063819090747667,0.29063819090747667,0.0,0.006283965676952441,0.05
92,0.0,0.48804201388888885,0.32619805146456726,0.2887820029582113,0.2887820029582113,0.0,0.31917703884378645,0.31917703884378645,0.0,0.030395035885575128,0.05
93,0.0,0.48756851851851857,0.29647706355335846,0.40991702182871603,0.40991702182871603,0.0,0.43328964456861707,0.43328964456861707,0.0,0.02337262273990104,0.05
94,0.0,0.5005543981481481,0.30829777485626686,0.2933843641540622,0.2933843641540622,0.0,0.3634600579147713,0.3634600579147713,0.0,0.0700756937607091,0.05
95,0.0,0.5006826388888889,0.391571994565183,0.3628880936245391,0.3628880936245391,0.0,0.3677394293643831,0.3677394293643831,0.0,0.004851335739843976,0.05
96,0.0,0.4993405092592593,0.23668745340084008,0.3392526014299454,0.3392526014299454,0.0,0.3461244456110779,0.3461244456110779,0.0,0.006871844181132514,0.05
97,0.0,0.5036733796296297,0.27155326049369644,0.2648165678080956,0.2648165678080956,0.0,0.2599788626588432,0.2599788626588432,0.0,-0.004837705149252414,0.05
98,0.0,0.4951069444444444,0.24585804107315146,0.3352773785963772,0.3352773785963772,0.0,0.34045516335476056,0.34045516335476056,0.0,0.005177784758383375,0.05
99,0.0,0.4973888888888889,0.21767045748535474,0.25956974443196235,0.25956974443196235,0.0,0.3519955948233242,0.3519955948233242,0.0,0.09242585039136186,0.05
0,0.05,0.5701667824074074,0.12874767124612274,0.2513657325896098,0.25123940198485695,-0.00012633060475286673,0.27381605909272966,0.27381605909272966,0.0,0.022450326503119844,0.065375
1,0.05,0.556632523148148,0.31687873947858003,0.32244444469997235,0.32244444469997235,0.0,0.35283664037238205,0.35283664037238205,0.0,0.030392195672409694,0.06654166666666667
2,0.05,0.5490405092592593,0.1891697073552865,0.31868196740608645,0.31868196740608645,0.0,0.31456016951078414,0.31456016951078414,0.0,-0.004121797895302315,0.06563888888888889
3,0.05,0.551030787037037,0.1769320579135817,0.2600828890455654,0.2600475535275588,-3.533551800660728e-05,0.3077372293472842,0.3077372293472842,0.0,0.04765434030171878,0.06555555555555556
4,0.05,0.5637733796296297,0.10673089429247273,0.1696731532899206,0.17014323492820815,0.000470081638287545,0.20252441015943912,0.20252441015943912,0.0,0.03285125686951851,0.06686111111111111
5,0.05,0.5644334490740741,0.23734936630384562,0.47996922126191344,0.48007722133838027,0.00010800007646682985,0.45556005355288365,0.45556005355288365,0.0,-0.02440916770902979,0.06581944444444444
6,0.05,0.5534824074074074,0.25835470732400523,0.24149988867566885,0.24149856857704355,-1.320098625301469e-06,0.31962929975437604,0.31962929975437604,0.0,0.07812941107870719,0.06718055555555555
7,0.05,0.5483508101851852,0.2841581962553721,0.30942815870900187,0.3096488399274081,0.0002206812184062379,0.27832480863162434,0.27832480863162434,0.0,-0.031103350077377523,0.06563888888888889
8,0.05,0.5614563657407406,0.34059393750063816,0.4205805711063776,0.4202859521546005,-0.0002946189517770703,0.43441445131852663,0.43441445131852663,0.0,0.013833880212149041,0.06609722222222222
9,0.05,0.5741228009259259,0.39406194139028616,0.3481689314222818,0.34930003574922197,0.001131104326940191,0.38977180885920215,0.38977180885920215,0.0,0.04160287743692037,0.06704166666666667
10,0.05,0.5465037037037037,0.3093195349629454,0.33412798504912444,0.33382535147036585,-0.0003026335787585932,0.3085893045631479,0.3085893045631479,0.0,-0.025538680485976517,0.06563888888888889
11,0.05,0.5713346064814814,0.028242039320611534,0.25011621072591106,0.24897833247375822,-0.0011378782521528352,0.23521500781700966,0.23521500781700966,0.0,-0.014901202908901401,0.06595833333333333
12,0.05,0.5553519675925925,0.20250617599309007,0.31255056587842234,0.31255056587842234,0.0,0.2820446257250727,0.2820446257250727,0.0,-0.03050594015334962,0.06708333333333333
13,0.05,0.5380454861111111,0.38921554041438233,0.39439035762083596,0.39434604103820103,-4.431658263492899e-05,0.448152339018721,0.448152339018721,0.0,0.05376198139788502,0.06426388888888888
14,0.05,0.5727888888888889,0.2345068764964252,0.4115786509593101,0.41131033372528325,-0.00026831723402687135,0.3759928855903636,0.3759928855903636,0.0,-0.03558576536894653,0.06670833333333333
15,0.05,0.5807121527777778,0.25764728228031786,0.34219111099403454,0.34219111099403454,0.0,0.33278394353299856,0.33278394353299856,0.0,-0.009407167461035981,0.06643055555555556
16,0.05,0.5661015046296295,0.2986681050732506,0.3405989965163059,0.3405802253911745,-1.877112513137824e-05,0.2874113126079617,0.2874113126079617,0.0,-0.05318768390834416,0.06516666666666666
17,0.05,0.5550104166666666,0.05500411952515949,0.23440738714558196,0.233998952241408,-0.000408434904173971,0.24486282902917478,0.24486282902917478,0.0,0.01045544188359282,0.06504166666666666
18,0.05,0.584242013888889,0.2798569408498853,0.3340316942806013,0.33428264467379487,0.00025095039319356083,0.3280723191900343,0.3280723191900343,0.0,-0.005959375090566987,0.06758333333333333
19,0.05,0.5687266203703704,0.11116217571772258,0.22091088581291884,0.22168318133087195,0.0007722955179531032,0.23904598062171734,0.23904598062171734,0.0,0.01813509480879849,0.0659861111111111
20,0.05,0.5456827546296297,0.23926832902459683,0.1999402128932416,0.20038172492549755,0.0004415120322559529,0.20540458474474566,0.20540458474474566,0.0,0.005464371851504057,0.06538888888888889
21,0.05,0.5726135416666667,0.2520108504461699,0.2583296273227199,0.2572656327580308,-0.0010639945646890858,0.24916751629126843,0.24916751629126843,0.0,-0.009162111031451481,0.06625
22,0.05,0.5502109953703703,0.2631508745540061,0.2840574065447178,0.2838499302766715,-0.0002074762680462916,0.2951565498240024,0.2951565498240024,0.0,0.011099143279284629,0.06638888888888889
23,0.05,0.5554009259259258,0.2793930482808856,0.2863550309508772,0.2863550309508772,0.0,0.2914137466498401,0.2914137466498401,0.0,0.005058715698962879,0.06456944444444444
24,0.05,0.5591895833333332,0.20345290707941044,0.31319533060981675,0.31319533060981675,0.0,0.2846300467453421,0.2846300467453421,0.0,-0.028565283864474655,0.06593055555555556
